id,Preferred Name,Industry,Job Title,Job Tags,Job Description,STEEP Change 1,STEEP Change 2,STEEP Change 3,STEEP Combined,STEEP Reason 1,STEEP Reason 2,STEEP Reason 3,Combined Signals,Archetype,Future - Litany,Future - Job Title,Future - Systems,Future - Metaphor,Feedback,How got to know,tags
621defd9ab4080579f291689,Noah,Design,Designer,design,Consultant,Environmental,Social,Political,"Environmental,Social,Political","Rising sea levels, increased temperature, decrease in vegetation, depleting natural resources, heightened political unrest, disparities in social fabric, technological breakdowns","Heightened political unrest, disparities in social fabric, social isolation",War,"rising sea levels, rising temperature, loss of biodiversity, depleting resources, civil unrest, war",Collapse,Scientific Expert at engineered intelligence in humans,Clone,A need to expound and expand on the human consciousness,"Unreal,",,DesignSG,Reflections yes
621ff28058c8c930785d402a,Joy,Transportation,Defeated working mother of a 4 Yr old,transport,Motivate ppl to uphold service standards,Technological,Political,Social,"Technological,Political,Social",Internet of things,"Russian invasions, China oppression, decline of america",Individualism over environment,"iot, war, geopolitical tensions, shifting global powers, individualisation",Collapse,Motivating bots,Productivity efficiency officer,Lack need for human to human interactions. Ppl die from war. Choose to interact thru devices,Loneliness in wilderness,,Word of mouth,
621e93f795171b36787d9aba,min,tech,ux designer,"tech,design",i design and write for a better app experience,Environmental,Social,Political,"Environmental,Social,Political",global warming,apathy as a way to cope,war and blind faith,"global warming, increased apathy, war",Collapse,nothing,sensor,,,,,
621598aa229cc01a8019104e,Monica,Professional Services / Organizational Development,Futurist and Coach,futures,I coach leaders and conduct foresight projecta,Social,Technological,Environmental,"Social,Technological,Environmental","Lots of social tensions, more diverse people with platforms, and new norms","Progress in tech continues - especially with AI, nanotech, and scientific discoveries","Climate change will either lead us to extinction or transformation, there arent choices in between","diversity, new social norms, AI, nanotech, climate change",Transformation,,,,,,,
621d7ce40cd62d17365b1b4d,Qimmy,Design,UX Designer,design,I design experiences (specially in the field of education) to make teaching and learning more enriching.,Social,Technological,Environmental,"Social,Technological,Environmental",Less children as societies develop. People are more educated and more individualised.,"AI would become more commonplace. Blockchain would revolutionise the way we look at and consume information. Experiences would become more sensory with AR, VR, MR. Tech would become more invisible with voice and haptic tech.",growing awareness in climate change. food tech.,"more education, individualisation, decreased birthrate, AI, blockchain, AR, virtual reality, mixed reality, climate change, food technology",Transformation,,,,,,,
62275a7e1286cb559228975a,Lyn,Social Sector,Programme Architect,social service,Design and implement community service programmes,Technological,Economic,Environmental,"Technological,Economic,Environmental","Block Chain, AI, NFTs","Digital Workplaces, Global Talent Crunch","Climate Change, Depleting Resources","blockchain, AI, NFTs, remote work, global talent crunch, climate change, depleting resources",Transformation,User Experience Design,Design interfaces for AI,Greater need for customisation to meet individual needs,The only limit is you,,Cool! And I’m excited to know the outcome! :D,Reflections yes
621ec5720d745565821543dd,Nammi,Consultancy,Talent partner,consultancy,I translate business vision into talent strategies and execute them,Environmental,Social,Political,"Environmental,Social,Political","Rapid changing climate, unpredictable and un0recedented weather patterns and changes","Younger generations less likely go have children, more communal and supportive structuress will arise",Colonial rule will crumble,"climate change, extreme weather, decreased birthrate, decolonisation",Transformation,"They are a community oriented person, their purpose is empowering people through profession. They collaborate with a team, they help set peoplr up for success",People architect,"Communal and collective living. Close integeation, collaboration prevails where competition previously thrived. People are kind and adaptive. Work is a joy, not something seperated from your 'life'",Being is like a forest frog enjoying the trees,,Design sg tele channel,
621dde92fd59823e9276bbb3,Yan,Branding,Designer,advertising/branding,I work as a designer in a branding consultancy. I am involved in the entire branding process which typically includes the strategy and actual designing of the brand identity and touchpoints.,Technological,Environmental,Social,"Technological,Environmental,Social","The introduction of VR technology into our lives, be it in the form of VR games, concerts, in certain products/services. It changes the way people perceive reality and opens up a world of possibilities to what VR can achieve. Maybe in the future, it will totally transform the way we experience reality and our concept of what is real and what is not will not be as clear.","Global warming and climate changes our world today is very real and scary. Rising temperatures, natural disasters etc. feels like Mother Nature is fighting back. That said, there has been more global awareness regarding environmental issues in our world today than any other era, and there are efforts seen around the world to be more sustainable. So sustainability will probably be an important aspect of how we live our lives in the future.","The world is crazy these days with countries going to wars, fighting over resources/territorial disputes. Is this considered social or political? Not sure but society in general is changing so quickly; younger generations with a completely different mindset and upbringing- for sure some kind of transformation will happen in the future, though whether for the best or not, we will never know, at least not in our lifetime.","virtual reality, blurring of physical and virtual worlds, global warming, climate change, rising temperature, natural disasters, increased sustainability, war, generational differences",Transformation,,,,,,,
62281e686cc9f54293341b14,wei,design,design researcher,design,help frame design propositions with understanding of various stakeholders’ perspectives,Social,Environmental,Political,"Social,Environmental,Political",ageing population,"climate change, depleting resources",war,"ageing population, climate change, depleting resources, war",Transformation,designer,creative,the creative role is needed to recreate and improve gaps left in the world after years of unrest and changing demographics,new dawn,,word of mouth,Reflections yes
62281fa541439b11ff5ba586,TP,Design,Design Researcher,"design,research",I turn user research into actionable insights that solves business problems.,Environmental,Technological,Economic,"Environmental,Technological,Economic","Climate change (geographical changes eg. cities getting submerged, artic getting warmer) and depleting resources could drive major shifts in economic and political powers world wide. Climate refugees might strain hosting nation's resources and cause internal social and political conflict","development of AI, the shift to remote work forces everyone to get comfortable with going digital, the metaverse, drones, electric care, flying cars, could shift the way we socialise as a society, how we get around in day to day life, the type of work we do (or don't do), how services are delivered.

it seems almost like 'life as we know it"" is becoming unsustainable, and unless we can drastically change and evolve the way do things, we might be headed for destruction. But i'd rather hold out hope that humanity's ingenuity might somehow lead to evolution rather than disaster...","Top thing that comes to mind - remote work. With remote work becoming the norm, more and more places might find that there's no need for a centralised office space. that changes the way we work, gather, and our expectations of what it means to ""work at a company"". Companies begin to see hiring across international borders as less of a friction, digital nomading might become more of a norm - that might in turn impact how we travel as well. Maybe even affect our sense of belonging to one country - more global citizens? what might have interesting social and cultural implications.","climate change, global warming, rising sea levels, depleting resources, climate refugees, civil unrest, AI, remote work, metaverse, drones, electric vehicles, flying vehicles, decentralised workforce, digitalisation, digital nomad, national identity",Transformation,"She is sifting through and reviewing the relevant user data flagged by their AI system, and fine tuning/implementing the recommendations made by the AI system to nudge their user's behaviour in their desired direction.",Behavioural Architect,"To escape the doomsday scenario, humanity needs to collectively move in the same direction so that we can effectively cut down emissions, avoid social conflict and move collectively towards solving pressing social problems. government agencies are making use of design and our understanding of human behavioural psychology to nudge behaviours through the services that they provide. (of course this also means that companies can use this to their own advantage)",The Truman Show,,A friend circulated the link,Reflections yes
62208ffc37578639395fe44a,🦴✨Shu Ting✨👸🏻,Government - Social Service 😅,Manager,"public service,social service","Influence social sector to use Design Thinking to innovate, collaborate and tranform experiences for better service delivery. (trying to be political correct here😂.)",Technological,Economic,Social,"Technological,Economic,Social","Bitcoin, NFTs, Alt coins, Metaverse, Tik tok, stock market behaving in erratic motion, self-driven vehicles and etc… . In general, tech transforms and impacts lives of people in unimaginable short time span. It feels like the decision made today will affect/determines what happens to you in future whether near or far.","Shifting Economic Powers, income inequality, rise in GST and taxes, globalisation, human capital and talent.","Changes in perception of people (e.g. having extreme or polarised views), less adaptive to social norms and seeing more of nonconformist (not a bad thing but imposing views or not being able to accept is something negative), discerning of different voices and viewpoints, cancel culture, media portrayal and influence.","cryptocurrency, metaverse, autonomous driving, shifting economic powers, inequality, globalisation, rise in taxes, rise in human capital, rise in talent, polarised views, entrenched worldviews, cancel culture, discerning more worldviews, NFTs",Transformation,"This person don’t need to work. Work is obsolete in 2100. This person is managing his/her life decisions through eye tracking devices. This devices prompt the person on what to do such as what to eat for breakast, suggesting list of places they have ate for the past week, giving new ideas to help him/her make a better decision.",NIL. Work is obsolete.,"In 2100, jobs will be automated while human concentrate on building things they like and coming up with new innovation and technology that could help them live their life more meaningful. In a sense, what can we achieve more with minimal output?",Futuristic with a twist of colour.,,Telegram,Reflections yes
6213920c8a88f6578c2f5e59,Zozo,Finance,Designer,"finance,design",Construct blueprints of how people might interact with softwares to complete their desired tasks,Environmental,Social,Economic,"Environmental,Social,Economic","Ecological collapse, climate distaster",Politically and environmentally aware youths,"Unequal distribution of wealth, unequal distribution of climate disaster","climate change, environmental degradation, aware youths, inequality, unequal effects of climate change",Transformation,Design sustainable community/common public spaces,Design advisor,"Design as a profession becomes a supporting and facilitating role, listening and learning from communities to design based on local knowledge. Production becomes local and local communities work together to support sustainable living within their own land, needing a design advisor to facilitate conversations and discussions.",Garden cities,Love the experiment! Thanks for the additional info ❤️,,Reflections yes
62243de286c01c0e7e5d6065,Stephanie,Software,Customer Support Manager,IT,I help people use software and troubleshoot technical issues they report,Environmental,Technological,Social,"Environmental,Technological,Social","Climate change, depletion of land and water resources due to pollution","Increased adoption and reliance on internet-mediated communication, automation, other new technologies","Conflicting concepts of identity (e.g. ethno-nationalism), ageing population, rapid formation of communities (e.g. through online networks)","climate change, depleting resources, pollution, automation, increased adoption and reliance on new technology, communication technology, information technology, national identity, ageing population, online communities",Transformation,This person is tracing the path of data from one point to another,Customer Support Manager,A rare raw material is tracked throughout its shipment and the buyer wants to understand why it has not arrived,Needle in a haystack,,better.sg,
621f27b730f89b300363acd0,JH,Design,UX Designer,design,I solve problems,Social,Economic,Political,"Social,Economic,Political",Polarized views,Shifting economic powers,Decentralization,"polarised views, shifting economic powers, decentralisation",Transformation,What is work?,Designer,No idea,A fork in the road,,Telegram,
624603c323b04a06aa717bc3,Cathy,Consulting,Director,consultancy,I work with companies to inspire  leaders and create growth cultures  that can deliver on their purpose.,Technological,Social,Political,"Technological,Social,Political","Cryptocurrency, metaverse, advances in computing","Unrest of marginalized, fight for equality, global reach of community","Politicians will become more representative of society, nationalism increases, protests","cryptocurrency, metaverse, civil unrest, inequality, nationalism, shifting political powers",Transformation,She is doing the same but now she has access to advanced technologies that can simulate outcomes of choices that leaders make in the metaverse.  This helps them learn and grow quickly in a risk free environment.,Leadership and culture futurist,There will still be a need to help people and companies grow,Learning at speed,,It was a great tool to spark some new thinking.,
62413a59906a393af46fb29c,Foldable,Design,Designer,design,Designer,Environmental,Social,Technological,"Environmental,Social,Technological","Climate Change
Depleting Resources
Plant-based Diet
3D Printed Food","Ageing Population
Polarised Views
Low Birth Rate
Joblessness","XR Tech
Blockchain
Predictive Analysis on Hereditary Medical Conditions, Health Sciences
Targetted Marketing
Driverless Vehicles","climate change, depleting resources, plant-based diet, 3d printed food, ageing population, polarised views, decreased birthrate, joblessness, extended reality, blockchain, predictive healthcare, autonomous driving",Transformation,Designing,Customiser,The only purpose of human interception there is to help customers customise and personalise according to their needs.,A Time for Everything.,The experience with this bot is a tad too long.,Socials.,
6244fa4d4b713b73ad12f8ed,Jem,Government,Assistant Manager,public service,Coordinate and implement youth mental health policies,Economic,Technological,Political,"Economic,Technological,Political",Lesser need to work when most “basic” needs are automated; changing relationship between employee and employer,"Advancements in automating everything, AI replacing basic jobs",Changing political relationship with electorate; more demands to share the future;,"automation, new habits of working, AI, shifting political powers, distribution of power to people, decreased trust in governments",Transformation,"The person is looking at regulating new stressors that come out as a result of tech and economic changes. The strategies being implemented will be beyond basic stressors, with a push for upstream rather than downstream mental health.","Assistant Manager, Well-being",Basic stressors have been addressed by societal changes. But new stressors have come out due to societal change. The capacity for downstream mental health would have been developed but the approach to create and maintain. Upstream mental health is an evergreen issue,We need happiness to be an evergreen state of being,The metaphor examples were quite anchoring,Saw Damien’s LinkedIn,
621f39f1ace97530c124aa83,Sumi,Tech,Ux designer,"tech,design",Design intuitive experiences for users interacting with products and services,Environmental,Technological,Economic,"Environmental,Technological,Economic","Move towards clean energy, electric vehicles, carbon neutral or better for a organisations, more vegans and general enhanced awareness of environmental conservation and climate change in people, businesses and governments. Maybe some people move to Mars or some other planet already. Hopefully we still have essential resources like water.","flying cars, self driving cars, hyperloop is commonplace. We all have some chip implanted in us at birth that gives us reminders of things to do, names of people... 3d printed food is commonplace and super delicious, to cope with food shortage.","more decentralised financial ecosystem .. Maybe no more middle men like banks or visa, mastercard . Everyone owns their data. Investors can invest in early stage companies instead of just VCs","sustainable energy, electric vehicles, increased sustainability, climate change, access to clean water, flying vehicles, hyperloops, human augmentation, 3d printed food, decentralised finance, new ways of investment",Transformation,"She's in the metaverse, talking to a user living 300000 miles away in another country or even planet, to find out the pain points of using the product she's helping to shape the experience for.",Experience Designer,Metaverse becomes widely adopted and vr headsets are affordable,Out of this world,"Some binaural beats are perfect to accompany this exercise. I listened to this from Spotify. Super apt and useful for getting into the mood!! https://open.spotify.com/playlist/37i9dQZF1DX7EF8wVxBVhG?si=5DUzalJSSs-CrvKFSlUKcQ&utm_source=copy-link

Can ask users to listen to this on Spotify if they have Spotify",Design sg telegram group,
621759351eff9c1f7220b6d1,Megan,Education,Learning Experience Designer,"education,design",I design transformative leadership education for new managers at fast growing companies,Environmental,Social,Technological,"Environmental,Social,Technological",Climate change will become a global crisis that will force people to completely change the way they think and work together,Growing gaps in societal attitudes and values between the old and the youth,Machine learning and meta verse technology,"climate change, new ways of collaboration, widening income gap, widening social gap between young and old, machine learning, metaverse",Transformation,"This person doesn’t seem to have another person that they are directly reporting to or overseeing. They’re on a few different interfaces concurrently and not in an office, but also not at home. They’re helping adults to learn about their own minds and attitudes, snd not really teaching specific skills",Growth guide,"People are really overwhelmed with their sense of purpose and the things they are doing snd in order to optimise the work they do, they no longer have the time to think about their own growth and career and development. This job exists to help them recalibrate and ensure that they remain effective at work",Progress is water,,Damien posted about it in FOFSG!,
621e0b4966d23227e043cc4c,Woozy,Technology,Product Designer,"tech,design",I design experience for a web-based tool,Environmental,Social,Political,"Environmental,Social,Political","Our need to reconsider the limits of growth on the shared planet, particularly in the face of climate change and ecosystem degradation",How cities and urban centres operate and transform with a view of technological changes and climate adaptation,How do governments respond to the pressing societal and environmental issues – what radical politics will look like as society shifts. How do we make a future globalisation equitable?,"climate change, globalisation, radical politics",Transformation,"They work from somewhere remote, among distributed workforce. The type of work may not be very different from the present but the mode of engagement is likely different. Communication and collaboration means are probably a lot more transformed in a way that's probably not that recognisable",Ecosystem designer,We've needed to create urban environments that are resilient but also corrective in dealing with the climate crisis,It takes a village,,Damien posted it on another telegram group.  ☺️,Reflections yes
62209116fd0d600a8e296121,xiu,tech,product manager,tech,i build and scale search and recommendations products using ai,Environmental,Technological,Social,"Environmental,Technological,Social","climate change, lack of long term and coordinated action, natural and man made disaster, pollution","new technologies that we don't even know now, biotech, developments in quantum technologies","polarisation, fragmentation of society, stagnation of world views, elitism, racism,","climate change, natural disasters, man-made disasters, pollution, biotech, quantum computing, polarised views, fragmented society, elitism, racism, stagnating growth, entrenched worldviews",Transformation,"they're doing some kind of problem solving and a mix of short and long term planning

i can see how the technology works",product strategist? i really am not sure,,,,,
620ccb58d2938210ee2dafa9,Jonathan,Finance,"Director, Design Standards","finance,design","I help the design team work effectively and grow sustainably through systems, processes, rituals, and support.",Environmental,Social,Technological,"Environmental,Social,Technological",Climate change and depleting resources,Globalisation and crisis of identity,"Artificial intelligence, quantum computing, fusion technology","climate change, depleting resources, globalisation, national identity, AI, quantum computing, fusion technology",Transformation,Speaking to someone,Human Systems Design,Evolution of technology have solved energy crisis through fusion tech. Quantum computing and artificial intelligence has taken care of many production work through automation. Humans shift to understand the new age of people-people-machine relationship as most decision making in AI becomes an enigma; AI learns to balance the resource scarcity and compromising sometime irrational human needs.,"Messy mix of blade runner, mad max, elysium",,,
621fb039bb11aa5b321a9104,Jennifer,Marketplace,Product manager,e-commerce,Understand problems and recommend solutions,Social,Environmental,Technological,"Social,Environmental,Technological",Focus more on mental health and well being,"Climate change impacts , acknowledgement of human need to make better and drastic choices",More dependent on technology in day to day activities,"increased mental health, climate change, dependence on technology",Transformation,Engaging with fellow co-workers and analysing how to help their users achieve easier convenience in using their product by monitoring augmented simulations of how their users will react to changes to the products,Experience creator,"People wanted more convenience and time for themselves, realising that the world is sufficient as it is and doesn’t need a lot to survive.. so with relying more towards technology, these jobs were created to make people’s life more easier and comfortable",Peace and tranquillity,,Was quite interesting,Reflections yes
621f43c1ace97530c124ab60,Kemei,Design,UX Designer,design,I design the interaction between humans and digital products such as websites and apps,Technological,Environmental,Economic,"Technological,Environmental,Economic",VR and blockchain,Climate change,"Changes in the way we view work, income and wealth","virtual reality, blockchain, climate change, new habits of working",Transformation,"Wearing a sleek & comfy VR headset, using virtual monitors and hand gestures to do work. Working on designing VR interfaces.",Experience designer,Digital platforms have moved from flat screens to VR/metaverse. Revolutionary ways in which we interact with digital products,Possibilities like the boundless sky,,"Saw it on LinkedIn! Have heard about futures design but don’t really know what it’s about, so wanted to take this chance to expose myself",
621e546d13204348a4035494,Nat,Government,Product Designer,"public service,design",Building tech for public good,Technological,Environmental,Social,"Technological,Environmental,Social",The rate at which digitalization has accelerated due to the pandemic,"Climate change will force us to adapt, which could be discipline, but paired with technology could allow us to transcend","The speed of news and ideas, and the increasing self-awareness of individuals and how we tie into the global network","digitalisation, pandemic, climate change, changing habits of content consumption, increased self-awareness",Transformation,"Working on a tech network that governs the city I live in, where there gov uses crowdsourcing data to enact decisions, but decisions are a collective agreement of all who live there through some tech that allows them to all participate",Network designer,"People are more outspoken about how they want to be governed, and there is demand for more citizen participation. Travel could be more fluid so by big group data, one could see if they are more attuned to a different group and people will naturally herd together with like minded folk.",Collective data makes a collective decision,,DesignSG telegram chat,
622770b76c6cd73afa3f5268,Keith,E-commerce,Designer,"design,e-commerce",I design solutions to help people.,Social,Technological,Environmental,"Social,Technological,Environmental",Collapse of urbanisation resulting in reversal,People are more connected than ever,Climate change resulting in drastic changes everywhere,"counterurbanisation, climate change, communication technology",Transformation,"In the countryside, relaxing.",Reality designer,Everyone is immerse in their own reality and this job designs for that reality/fantasy/dreams/egos,You can be anything you want,,Interesting experiment that puts me in a frame of mind to think about the future. Would love to hear the outputs from this.,
6236b5338e6e68605a78e6bf,E,Education,Educator,education,"Guide, teach, inspire",Environmental,Technological,Political,"Environmental,Technological,Political",Climate upheaval,Blockchain,Bifurcation of West Vs china,"climate change, blockchain, shifting global powers, shifting economic powers",Transformation,Connecting with people with the aid of technology,Connector,"Need for human to connect people to people, people to knowledge is  central even when new technologies enable spread n dissemination of info. Sense making essential",Living in a spiderweb,,Instagram studiodojo,Reflections yes
62419ac5b5c0dd4734624adf,Lisablob,Government (Information Field),Manager (Planning & Foresight),public service,i map out the futures of libraries and archives and work with stakeholders to realise our strategic plans for the mid- and long term.,Technological,Political,Environmental,"Technological,Political,Environmental","cryptocurrency, Blockchain, decentralisation of finance, novel systems and approaches, metaverse","anarchy, political revolutions","Global warming, climate change, etc","cryptocurrency, blockchain, decentralised finance, metaverse, civil unrest, anarchy, global warming, climate change",Transformation,"seeking to transform problems today to future solutions, and to chart out new ways forward for humanity to forge ahead in the Information field",futures architect,the partial collapses of society and the impetus to build and rebuild anew,technicoloured static on a shattered screen,,Instagram - I follow studio dojo! Very very insightful experiment thus far 🧪,Reflections yes
621de382b165110a797a94f5,Nicole,Agriculture Tech,UX Designer,"argriculture,tech",Designing systems,Environmental,Political,Social,"Environmental,Political,Social",Climate changes in general and people not caring about what they need to do,Ukraine war and just people doing things that is political rather than what actually affects the country… why do these stupid optics things manner,"QAnon, people find it easier to stick to whatever that is comfortable than trying to understand why we have the believes that we have","climate change, war, QAnon, entrenched worldviews",Transformation,,,,,,,
6221b7d27e17fd14442b63a9,Laurie,Social innovation,Head of Foresight Research,"social service,innovation,futures",Manage a foresight research team,Environmental,Technological,Social,"Environmental,Technological,Social","Climate change, biodiversity loss, rise of renewables, increase in consumption by large populations in poorer societies","Renewables, AI, synthetic biology, quantum computing","Ageing population, inequality, culture wars","climate change, loss of biodiversity, renewable energy, increased sustainability, increased consumption, AI, synthetic biology, quantum computing, ageing population, inequality, culture wars",Transformation,Undertaking a project to harness quantum computers to give species money to reduce biodiversity loss.,Strategic risk management consultant,Jobs are all outsourced and thinking about the future is practical due to incredible computing power,Ch Ch Ch changes,,"Interesting idea, would be good to add some humour",
621f650a30f89b300363b169,Tiana,Government,"Director, Strategic Futures","public service,futures",Scenario planning in the defence sector,Technological,Environmental,Political,"Technological,Environmental,Political","Emerging technologies like quantum and AI, for which the full extent of their applications is unknown","The incredible pressures that climate change will place on the human species that it may or may not have the capacity to overcome, requiring either transformation or ceding the Earth to the remaining non-human species who will thrive without us",So much flux in the geopolitical order that will result in some unknown new equilibrium,"quantum computing, AI, climate change, geopolitical tensions, shifting global powers",Transformation,Inhabiting a virtual world where simulations are playing out of possible scenarios based on infinitesimal variables,No change 😅,"There is always a human desire to imagine the future, to seek an oracle of what is to come",Unmoored from time,,Leon Voon!,
